Home Team,Visitor Team,KNN Winner,Decision Tree Winner
Spurs,Warriors,Spurs,Warriors
Thunder,Hawks,Thunder,Hawks
Thunder,Celtics,Celtics,Celtics
Thunder,Pelicans,Thunder,Pelicans
Thunder,Bulls,Thunder,Bulls
Thunder,Mavericks,Mavericks,Mavericks
Thunder,Nuggets,Nuggets,Nuggets
Thunder,Rockets,Rockets,Rockets
Thunder,Clippers,Thunder,Clippers
Thunder,Lakers,Thunder,Lakers
Thunder,Heat,Heat,Heat
Thunder,Bucks,Thunder,Bucks
Thunder,Timberwolves,Thunder,Timberwolves
Thunder,Nets,Thunder,Nets
Thunder,Knicks,Thunder,Knicks
Thunder,Magic,Thunder,Magic
Thunder,Pacers,Thunder,Pacers
Thunder,76ers,Thunder,76ers
Thunder,Suns,Thunder,Suns
Thunder,Trail Blazers,Thunder,Trail Blazers
Thunder,Kings,Thunder,Kings
Thunder,Spurs,Spurs,Spurs
Thunder,Raptors,Thunder,Raptors
Thunder,Jazz,Jazz,Jazz
Thunder,Grizzlies,Thunder,Grizzlies
Thunder,Wizards,Thunder,Wizards
Thunder,Pistons,Thunder,Pistons
Thunder,Hornets,Thunder,Hornets
Thunder,Cavaliers,Thunder,Cavaliers
Thunder,Warriors,Warriors,Warriors
Raptors,Hawks,Raptors,Hawks
Raptors,Celtics,Celtics,Celtics
Raptors,Pelicans,Raptors,Pelicans
Raptors,Bulls,Raptors,Bulls
Raptors,Mavericks,Mavericks,Mavericks
Raptors,Nuggets,Nuggets,Nuggets
Raptors,Rockets,Rockets,Rockets
Raptors,Clippers,Raptors,Clippers
Raptors,Lakers,Raptors,Lakers
Raptors,Heat,Heat,Heat
Raptors,Bucks,Raptors,Bucks
Raptors,Timberwolves,Raptors,Timberwolves
Raptors,Nets,Raptors,Nets
Raptors,Knicks,Raptors,Knicks
Raptors,Magic,Raptors,Magic
Raptors,Pacers,Raptors,Pacers
Raptors,76ers,Raptors,76ers
Raptors,Suns,Raptors,Suns
Raptors,Trail Blazers,Raptors,Trail Blazers
Raptors,Kings,Raptors,Kings
Raptors,Spurs,Spurs,Spurs
Raptors,Thunder,Raptors,Thunder
Raptors,Jazz,Jazz,Jazz
Raptors,Grizzlies,Raptors,Grizzlies
Raptors,Wizards,Raptors,Wizards
Raptors,Pistons,Raptors,Pistons
Raptors,Hornets,Raptors,Hornets
Raptors,Cavaliers,Raptors,Cavaliers
Raptors,Warriors,Warriors,Warriors
Jazz,Hawks,Jazz,Hawks
Jazz,Celtics,Celtics,Celtics
Jazz,Pelicans,Jazz,Pelicans
Jazz,Bulls,Jazz,Bulls
Jazz,Mavericks,Mavericks,Mavericks
